;F_cens;P_cens;R_cens;F_mfcc;P_mfcc;R_mfcc;param;kernel_size
150;0.26785714285714285;0.16853932584269662;0.6521739130434783;0.32323232323232326;0.21052631578947367;0.6956521739130435;(9, 2);20
151;0.136986301369863;0.1;0.21739130434782608;0.26229508196721313;0.21052631578947367;0.34782608695652173;(9, 4);20
152;0.15151515151515152;0.11627906976744186;0.21739130434782608;0.18181818181818182;0.15625;0.21739130434782608;(21, 5);20
153;0.28301886792452824;0.17045454545454544;0.8333333333333334;0.34210526315789475;0.22413793103448276;0.7222222222222222;(9, 2);20
154;0.3333333333333333;0.25;0.5;0.4210526315789474;0.4;0.4444444444444444;(9, 4);20
155;0.30434782608695654;0.25;0.3888888888888889;0.411764705882353;0.4375;0.3888888888888889;(21, 5);20
156;0.4186046511627908;0.2903225806451613;0.75;0.41379310344827586;0.35294117647058826;0.5;(9, 2);20
157;0.5;0.4375;0.5833333333333334;0.4210526315789474;0.5714285714285714;0.3333333333333333;(9, 4);20
158;0.5185185185185186;0.4666666666666667;0.5833333333333334;0.4210526315789474;0.5714285714285714;0.3333333333333333;(21, 5);20
159;0.08571428571428572;0.04477611940298507;1.0;0.04347826086956522;0.023255813953488372;0.3333333333333333;(9, 2);20
160;0.11428571428571428;0.0625;0.6666666666666666;0.1111111111111111;0.06666666666666667;0.3333333333333333;(9, 4);20
161;0.15384615384615383;0.08695652173913043;0.6666666666666666;0.28571428571428575;0.18181818181818182;0.6666666666666666;(21, 5);20
162;0.2777777777777778;0.16666666666666666;0.8333333333333334;0.28571428571428575;0.1724137931034483;0.8333333333333334;(9, 2);20
163;0.3333333333333333;0.2222222222222222;0.6666666666666666;0.5;0.35714285714285715;0.8333333333333334;(9, 4);20
164;0.28571428571428575;0.2;0.5;0.4;0.3333333333333333;0.5;(21, 5);20
165;0.33333333333333337;0.2;1.0;0.6;0.75;0.5;(9, 2);20
166;0.32;0.21052631578947367;0.6666666666666666;0.25;0.5;0.16666666666666666;(9, 4);20
167;0.4;0.2857142857142857;0.6666666666666666;0.4444444444444444;0.6666666666666666;0.3333333333333333;(21, 5);20
168;0.20833333333333331;0.11904761904761904;0.8333333333333334;0.2191780821917808;0.13114754098360656;0.6666666666666666;(9, 2);20
169;0.2926829268292683;0.20689655172413793;0.5;0.2439024390243903;0.1724137931034483;0.4166666666666667;(9, 4);20
170;0.3902439024390244;0.27586206896551724;0.6666666666666666;0.24242424242424246;0.19047619047619047;0.3333333333333333;(21, 5);20
171;0.16666666666666669;0.09090909090909091;1.0;0.1818181818181818;0.10294117647058823;0.7777777777777778;(9, 2);20
172;0.32727272727272727;0.1956521739130435;1.0;0.18867924528301888;0.11363636363636363;0.5555555555555556;(9, 4);20
173;0.17777777777777776;0.1111111111111111;0.4444444444444444;0.27272727272727276;0.17142857142857143;0.6666666666666666;(21, 5);20
174;0.13043478260869565;0.07317073170731707;0.6;0.15999999999999998;0.08888888888888889;0.8;(9, 2);20
175;0.20689655172413793;0.125;0.6;0.14285714285714285;0.08695652173913043;0.4;(9, 4);20
176;0.07692307692307693;0.047619047619047616;0.2;0.19047619047619047;0.125;0.4;(21, 5);20
177;0.2758620689655173;0.16;1.0;0.41025641025641024;0.25806451612903225;1.0;(9, 2);20
178;0.42424242424242425;0.28;0.875;0.4;0.3333333333333333;0.5;(9, 4);20
179;0.37037037037037035;0.2631578947368421;0.625;0.35294117647058826;0.3333333333333333;0.375;(21, 5);20
180;0.15068493150684933;0.08148148148148149;1.0;0.125;0.07547169811320754;0.36363636363636365;(9, 2);20
181;0.1917808219178082;0.11290322580645161;0.6363636363636364;0.0;0.0;0.0;(9, 4);20
182;0.22222222222222218;0.13953488372093023;0.5454545454545454;0.0;0.0;0.0;(21, 5);20
183;0.19047619047619044;0.11428571428571428;0.5714285714285714;0.3888888888888889;0.2413793103448276;1.0;(9, 2);20
184;0.2857142857142857;0.21428571428571427;0.42857142857142855;0.5;0.38461538461538464;0.7142857142857143;(9, 4);20
185;0.23529411764705882;0.2;0.2857142857142857;0.6666666666666666;0.625;0.7142857142857143;(21, 5);20
186;0.20512820512820512;0.11594202898550725;0.8888888888888888;0.26666666666666666;0.16666666666666666;0.6666666666666666;(9, 2);20
187;0.21052631578947367;0.13793103448275862;0.4444444444444444;0.25;0.2;0.3333333333333333;(9, 4);20
188;0.2857142857142857;0.21052631578947367;0.4444444444444444;0.3;0.2727272727272727;0.3333333333333333;(21, 5);20
189;0.2380952380952381;0.13513513513513514;1.0;0.4210526315789473;0.2857142857142857;0.8;(9, 2);20
